course_number,title,hours,cluster,desc,terms,optional,instructors,prereq
9.39,Language in the Mind and Brain,3-0-9 units,Subject meets with 9.390,"Surveys the core mental abilities — and their neural substrates — that support language, and situates them within the broader landscape of human cognition. Topics explored include: how structured representations are extracted from language; the nature of abstract concepts and how they relate to words; the nature of the brain mechanisms that support language vs. other structured and/or meaningful inputs, like music, mathematical expressions, or pictures; the relationship between language and social cognition; how language is processed in individuals who speak multiple languages; how animal communication systems and artificial neural network language models differ from human language. Draws on evidence from diverse approaches and populations, focusing on cutting-edge research. Students taking graduate version complete additional assignments. ",U (Spring),,E. Fedorenko,"Prereq: 9.00, 9.01, or permission of instructor "
9.390,Language in the Mind and Brain,3-0-9 units,Subject meets with 9.39,"Surveys the core mental abilities — and their neural substrates — that support language, and situates them within the broader landscape of human cognition. Topics explored include: how structured representations are extracted from language; the nature of abstract concepts and how they relate to words; the nature of the brain mechanisms that support language vs. other structured and/or meaningful inputs, like music, mathematical expressions, or pictures; the relationship between language and social cognition; how language is processed in individuals who speak multiple languages; how animal communication systems and artificial neural network language models differ from human language. Draws on evidence from diverse approaches and populations, focusing on cutting-edge research. Students taking graduate version complete additional assignments. ",G (Spring),,E. Fedorenko,"Prereq: 9.00, 9.01, or permission of instructor "
9.40,Introduction to Neural Computation,4-0-8 units,,"Introduces quantitative approaches to understanding brain and cognitive functions. Topics include mathematical description of neurons, the response of neurons to sensory stimuli, simple neuronal networks, statistical inference and decision making. Also covers foundational quantitative tools of data analysis in neuroscience: correlation, convolution, spectral analysis, principal components analysis. Mathematical concepts include simple differential equations and linear algebra. ",U (Spring),,M. Fee,"Prereq: (Physics II (GIR), 6.100B, and 9.01) or permission of instructor "
9.401,Tools for Robust Science (New),3-0-9 units,,"New tools are being developed to improve credibility, facilitate collaboration, accelerate scientific discovery, and expedite translation of results. Students (i) identify obstacles to conducting robust cognitive and neuroscientific research, (ii) practice using current cutting-edge tools designed to overcome these obstacles by improving scientific practices and incentives, and (iii) critically evaluate these tools' potential and limitations. Example tools investigated include shared pre-registration, experimental design, data management plans, meta-data standards, repositories, FAIR code, open-source data processing pipelines, alternatives to scientific paper formats, alternative publishing agreements, citation audits, reformulated incentives for hiring and promotion, and more.  ",G (Fall),,R. Saxe,Prereq: None 
9.41,Research and Communication in Neuroscience and Cognitive Science,2-12-4 units,,"Emphasizes research and scientific communication. Instruction and practice in written and oral communication provided. Based on results of his/her UROP research, each student creates a full-length paper and a poster as part of an oral presentation at the end of the term. Other assignments include peer editing and reading/critiquing published research papers. Prior to starting class, students must have collected enough data from their UROP research projects to write a paper. Limited to juniors and seniors.",U (Fall),,L. Schulz,Prereq: 9.URG and permission of instructor 
9.42,The Brain and Its Interface with the Body,3-0-9 units,,"Covers a range of topics, such as brain-immune system interaction, the gut-brain axis, and bioengineering approaches for studying the brain and its interactions with different organs. Explores how these interactions may be involved in nervous system disease processes. ","['U (Spring)', 'Not offered regularly; consult department']",,F. Zhang,"Prereq: 7.28, 7.29[J], or permission of instructor "
9.422[J],Principles of Neuroengineering,3-0-9 units,"['Same subject as 20.452[J], MAS.881[J]', 'Subject meets with 20.352']",See description under subject MAS.881[J]. ,G (Fall),,"E. S. Boyden, III",Prereq: Permission of instructor 
9.455[J],Revolutionary Ventures: How to Invent and Deploy Transformative Technologies,2-0-7 units,"Same subject as 15.128[J], 20.454[J], MAS.883[J]",See description under subject MAS.883[J]. ,G (Fall),,"E. Boyden, J. Bonsen, J. Jacobson",Prereq: Permission of instructor 
9.46,Neuroscience of Morality,5-0-7 units. HASS-S,,"Advanced seminar that covers both classic and cutting-edge primary literature from psychology and the neuroscience of morality. Addresses questions about how the human brain decides which actions are morally right or wrong (including neural mechanisms of empathy and self-control), how such brain systems develop over childhood and differ across individuals and cultures, and how they are affected by brain diseases (such as psychopathy, autism, tumors, or addiction). Instruction and practice in written and oral communication provided. Limited to 24.","['U (Fall)', 'Not offered regularly; consult department']",,R. Saxe,"Prereq: 9.00, 9.01, and (9.13 or 9.85) "
9.48[J],Philosophical Issues in Brain Science,3-0-9 units. HASS-H; CI-H,Same subject as 24.08[J],See description under subject 24.08[J]. ,"['Acad Year 2022-2023: Not offered', 'Acad Year 2023-2024: U (Fall)']",,E. J. Green,Prereq: None 
9.49,Neural Circuits for Cognition,3-0-9 units,Subject meets with 9.490,"Takes a computational approach to examine circuits in the brain that perform elemental cognitive tasks: tasks that are neither directly sensory nor directly motor in function, but are essential to bridging from perception to action. Covers circuits and circuit motifs in the brain that underlie computations like integration, decision-making, spatial navigation, inference, and other cognitive elements. Students study empirical results, build dynamical models of neural circuits, and examine the mathematical theory of representations and computation in such circuits. Considers noise, stability, plasticity, and learning rules for these systems. Students taking graduate version complete additional assignments. ",U (Fall),,I. Fiete,"Prereq: 9.40, 18.06, or permission of instructor "
9.490,Neural Circuits for Cognition,3-0-9 units,Subject meets with 9.49,"Takes a computational approach to examine circuits in the brain that perform elemental cognitive tasks: tasks that are neither directly sensory nor directly motor in function, but are essential to bridging from perception to action. Covers circuits and circuit motifs in the brain that underlie computations like integration, decision-making, spatial navigation, inference, and other cognitive elements. Students study empirical results, build dynamical models of neural circuits, and examine the mathematical theory of representations and computation in such circuits. Considers noise, stability, plasticity, and learning rules for these systems. Students taking graduate version complete additional assignments. ",G (Fall),,I. Fiete,"Prereq: 9.40, 18.06, or permission of instructor "
9.50,Research in Brain and Cognitive Sciences,0-12-0 units,,"Laboratory research in brain and cognitive science, using physiological, anatomical, pharmacological, developmental, behavioral, and computational methods. Each student carries out an experimental study under the direction of a member of the faculty. Project must be approved in advance by the faculty supervisor and the undergraduate faculty officer. Written presentation of results is required. ","U (Fall, Spring)",Can be repeated for credit.,Consult L. Schulz,Prereq: 9.00 and permission of instructor 
9.520[J],Statistical Learning Theory and Applications,3-0-9 units,Same subject as 6.7910[J],"Covers foundations and recent advances in statistical machine learning theory, with the dual goals of providing students with the theoretical knowledge to use machine learning and preparing more advanced students to contribute to progress in the field. The content is roughly divided into three parts. The first part is about classical regularization, margin, stochastic gradient methods, overparametrization, implicit regularization, and stability. The second part is about deep networks: approximation and optimization theory plus roots of generalization. The third part is about the connections between learning theory and the brain. Occasional talks by leading researchers on advanced research topics. Emphasis on current research topics. ",G (Fall),,"T. Poggio, L. Rosasco","Prereq: 6.3700, 6.7900, 18.06, or permission of instructor "
9.521[J],Mathematical Statistics: a Non-Asymptotic Approach,3-0-9 units,"Same subject as 18.656[J], IDS.160[J]","Introduces students to modern non-asymptotic statistical analysis. Topics include high-dimensional models, nonparametric regression, covariance estimation, principal component analysis, oracle inequalities, prediction and margin analysis for classification. Develops a rigorous probabilistic toolkit, including tail bounds and a basic theory of empirical processes ",G (Spring),,"S. Rakhlin, P. Rigollet","Prereq: (6.7700[J], 18.06, and 18.6501) or permission of instructor "
9.53,Emergent Computations Within Distributed Neural Circuits,4-0-8 units,Subject meets with 9.530,"Addresses the fundamental scientific question of how the human brain still outperforms the best computer algorithms in most domains of sensory, motor and cognitive function, as well as the parallel and distributed nature of neural processing (as opposed to the serial organization of computer architectures/algorithms) required to answer it. Explores the biologically plausible computational mechanisms and principles that underlie neural computing, such as competitive and unsupervised learning rules, attractor networks, self-organizing feature maps, content-addressable memory, expansion recoding, the stability-plasticity dilemma, the role of lateral and top-down feedback in neural systems, the role of noise in neural computing. Students taking graduate version complete additional assignments. ",U (Spring),,R. Ajemian,Prereq: 9.40 or permission of instructor 
9.530,Emergent Computations Within Distributed Neural Circuits,4-0-8 units,Subject meets with 9.53,"Addresses the fundamental scientific question of how the human brain still outperforms the best computer algorithms in most domains of sensory, motor and cognitive function, as well as the parallel and distributed nature of neural processing (as opposed to the serial organization of computer architectures/algorithms) required to answer it. Explores the biologically plausible computational mechanisms and principles that underlie neural computing, such as competitive and unsupervised learning rules, attractor networks, self-organizing feature maps, content-addressable memory, expansion recoding, the stability-plasticity dilemma, the role of lateral and top-down feedback in neural systems, the role of noise in neural computing. Students taking graduate version complete additional assignments. ",G (Spring),,R. Ajemian,Prereq: 9.40 or permission of instructor 
9.55[J],Consumer Behavior,3-0-6 units,Same subject as 15.8471[J],See description under subject 15.8471[J]. ,U (Spring),"Credit cannot also be received for 9.550[J], 15.847[J]",D. Rand,Prereq: None 
9.550[J],Consumer Behavior,3-0-6 units,Same subject as 15.847[J],See description under subject 15.847[J]. ,G (Spring),"Credit cannot also be received for 9.55[J], 15.8471[J]",D. Rand,"Prereq: 15.809, 15.814, or permission of instructor "
9.58,Projects in the Science of Intelligence,3-0-9 units,,"Provides instruction on the mechanistic basis of intelligence - how the brain produces intelligent behavior and how we may be able to replicate intelligence in machines. Examines how human intelligence emerges from computations in neural circuits to reproduce similar intelligent behavior in machines. Working in teams, students complete computational projects and exercises that reinforce the theme of collaboration between (computer science + math) and (neuroscience + cognitive science). Culminates with student presentations of their projects. Instruction and practice in oral and written communication provided. Limited to 30.",U (Fall),,"T. Poggio, S. Ullman",Prereq: (6.3900 and (9.40 or 18.06)) or permission of instructor 
9.583[J],Functional Magnetic Resonance Imaging: Data Acquisition and Analysis,2-3-7 units,Same subject as HST.583[J],See description under subject HST.583[J]. ,"['Acad Year 2022-2023: G (Fall)', 'Acad Year 2023-2024: Not offered']",,"J. Polimeni, A. Yendiki",Prereq: 18.05 and (18.06 or permission of instructor) 
9.59[J],Laboratory in Psycholinguistics,3-3-6 units. Institute LAB,Same subject as 24.905[J],"Hands-on experience designing, conducting, analyzing, and presenting experiments on the structure and processing of human language. Focuses on constructing, conducting, analyzing, and presenting an original and independent experimental project of publishable quality. Develops skills in reading and writing scientific research reports in cognitive science, including evaluating the methods section of a published paper, reading and understanding graphical displays and statistical claims about data, and evaluating theoretical claims based on experimental data. Instruction and practice in oral and written communication provided. ",U (Spring),,E. Gibson,Prereq: None 
9.60,Machine-Motivated Human Vision,2-1-9 units. Institute LAB,,"Explores how studies of human vision can be motivated by, and enhance the capabilities of, machine-based systems. Considers the twin questions of how the performance of state-of-the-art machine vision systems compares with that of humans, and what kinds of strategies the human visual system uses in tasks where human performance exceeds that of machines. Includes presentations by engineers from companies with significant engineering efforts in vision. Based on these presentations, students define and conduct studies to address the two aforementioned questions and present their results to the public at the end of the term. Directed towards students interested in exploring vision from computational, experimental and practical perspectives. Provides instruction and practice in written and oral communication. ",U (Spring),,P. Sinha,Prereq: None 
9.611[J],Natural Language and the Computer Representation of Knowledge,3-3-6 units,Same subject as 6.8630[J],See description under subject 6.8630[J]. ,G (Spring),,R. C. Berwick,Prereq: 6.4100 
9.66[J],Computational Cognitive Science,3-0-9 units,"['Same subject as 6.4120[J]', 'Subject meets with 9.660']","Introduction to computational theories of human cognition. Focus on principles of inductive learning and inference, and the representation of knowledge. Computational frameworks covered include Bayesian and hierarchical Bayesian models; probabilistic graphical models; nonparametric statistical models and the Bayesian Occam's razor; sampling algorithms for approximate learning and inference; and probabilistic models defined over structured representations such as first-order logic, grammars, or relational schemas. Applications to understanding core aspects of cognition, such as concept learning and categorization, causal reasoning, theory formation, language acquisition, and social inference. Graduate students complete a final project. ",U (Fall),,J. Tenenbaum,"Prereq: 6.3700, 6.3800, 9.40, 18.05, 6.3900, or permission of instructor "
9.660,Computational Cognitive Science,3-0-9 units,"Subject meets with 6.4120[J], 9.66[J]","Introduction to computational theories of human cognition. Focuses on principles of inductive learning and inference, and the representation of knowledge. Computational frameworks include Bayesian and hierarchical Bayesian models, probabilistic graphical models, nonparametric statistical models and the Bayesian Occam's razor, sampling algorithms for approximate learning and inference, and probabilistic models defined over structured representations such as first-order logic, grammars, or relational schemas. Applications to understanding core aspects of cognition, such as concept learning and categorization, causal reasoning, theory formation, language acquisition, and social inference. Graduate students complete a final project. ",G (Fall),,J. Tenenbaum,Prereq: Permission of instructor 
9.67[J],Materials Physics of Neural Interfaces,3-0-9 units,"['Same subject as 3.056[J]', 'Subject meets with 3.64[J], 9.670[J]']",See description under subject 3.056[J]. ,"['Acad Year 2022-2023: Not offered', 'Acad Year 2023-2024: U (Fall)']",,P. Anikeeva,Prereq: 3.033 or permission of instructor 
9.670[J],Materials Physics of Neural Interfaces,3-0-9 units,"['Same subject as 3.64[J]', 'Subject meets with 3.056[J], 9.67[J]']",See description under subject 3.64[J]. ,"['Acad Year 2022-2023: Not offered', 'Acad Year 2023-2024: G (Spring)']",,P. Anikeeva,Prereq: Permission of instructor 
9.72,Vision in Art and Neuroscience,2-2-8 units,Subject meets with 9.720,"Introduces and provides practical engagement with core concepts in vision neuroscience. Combination of seminar and studio work fosters interdisciplinary dialogue between visual art and vision neuroscience, culminating in a gallery exhibition of students' individual, semester-long projects. Treats the processes of visual perception and the creation of visual art in parallel, making use of the fact that both are constructive. Through lectures and readings in experimental and computational vision research, explores the hierarchy of visual processing, from the moment that light strikes the retina to the internal experience of a rich visual world. In the studio, students examine how each stage of this process manifests in the experience of art, wherein the perceptual system observes itself. Students taking graduate version complete additional assignments. ",U (Fall),,"P. Sinha, S. Riskin",Prereq: None 
9.720,Vision in Art and Neuroscience,2-2-8 units,Subject meets with 9.72,"Introduces and provides practical engagement with core concepts in vision neuroscience. Combination of seminar and studio work fosters interdisciplinary dialogue between visual art and vision neuroscience, culminating in a gallery exhibition of students' individual, semester-long projects. Treats the processes of visual perception and the creation of visual art in parallel, making use of the fact that both are constructive. Through lectures and readings in experimental and computational vision research, explores the hierarchy of visual processing, from the moment that light strikes the retina to the internal experience of a rich visual world. In the studio, students examine how each stage of this process manifests in the experience of art, wherein the perceptual system observes itself. Students taking graduate version complete additional assignments. ",G (Fall),,"P. Sinha, S. Riskin",Prereq: None 
9.822[J],Psychology and Economics,4-0-8 units,Same subject as 14.137[J],See description under subject 14.137[J]. ,G (Spring),,D. Prelec,Prereq: None 
9.85,Infant and Early Childhood Cognition,3-0-9 units. HASS-S,,"Introduction to cognitive development focusing on childrens' understanding of objects, agents, and causality. Develops a critical understanding of experimental design. Discusses how developmental research might address philosophical questions about the origins of knowledge, appearance and reality, and the problem of other minds. Provides instruction and practice in written communication as necessary to research in cognitive science (including critical reviews of journal papers, a literature review and an original research proposal), as well as instruction and practice in oral communication in the form of a poster presentation of a journal paper. ",U (Fall),,L. Schulz,Prereq: 9.00 
9.89,Off-Campus Undergraduate Research in Brain and Cognitive Sciences,Units arranged,,"For Brain and Cognitive Sciences undergraduates participating in curriculum-related research off-campus. Before enrolling, students must consult the BCS Academic Office for details on procedures and restrictions, and have approval from their faculty advisor. Subject to departmental approval. Upon completion, the off-campus supervisor will provide an evaluation of the student's work.  The student must also submit a write-up of the experience, approved by the MIT supervisor.  ","U (Fall, IAP, Spring)",Can be repeated for credit.,Staff,Prereq: None 
9.90,Practical Experience in Brain and Cognitive Sciences,0-1-0 units,,"For Brain and Cognitive Sciences undergraduates participating in curriculum-related off-campus professional experiences. Before enrolling, students must consult the BCS Academic Office for details on procedures and restrictions, and have approval from their faculty advisor. Subject to departmental approval. Upon completion, the student must submit a write-up of the experience, approved by the MIT supervisor. ",U (Summer),,Staff,Prereq: Permission of instructor 
9.900,Clinical Connection Module,0-1-0 units,,"Provides students the opportunity to connect their core neuroscience training to clinical experience (pathogenesis, diagnosis, management and therapeutic clinical trials of nervous system diseases). Students attend, along with Harvard faculty, fellows, residents and medical students at Massachusetts General Hospital, clinical seminars at MGH conducted by clinical and basic science faculty of Harvard Medical School. Each clinical experience is one week in length; students have the option to attend up to four seminars in their individual week chosen from: neuroradiology, neuropathology, neurodegenerative diseases, epilepsy, movement disorders, psychiatry, neuropsychiatric diseases and behavioral neurology, and functional neurosurgery. Seminars are followed by one-on-one discussion with instructor to connect the clinical experience with parallel course material on the neurobiology of disease. ","['G (Fall, Spring)', 'Not offered regularly; consult department']",Can be repeated for credit.,T. Byrne,"Prereq: None. Coreq: 9.011, 9.012, 9.013[J], 9.014, or 9.015[J]; permission of instructor "
9.901,Responsible Conduct in Science,1-0-1 units,,"Provides instruction and dialogue on practical ethical issues relating to the responsible conduct of human and animal research in the brain and cognitive sciences. Specific emphasis on topics relevant to young researchers including data handling, animal and human subjects, misconduct, mentoring, intellectual property, and publication. Preliminary assigned readings and initial faculty lecture followed by discussion groups of four to five students each. A short written summary of the discussions submitted at the end of each class. See IAP Guide for registration information.",G (IAP),,M. Wilson,Prereq: None 
9.91,Independent Study in Brain and Cognitive Sciences,Units arranged,,Individual study of a topic under the direction of a member of the faculty. ,"U (Fall, IAP, Spring)",Can be repeated for credit.,Consult Staff,"Prereq: 9.00, two additional subjects in Brain and Cognitive Sciences, and permission of instructor "
9.919,Teaching Brain and Cognitive Sciences,Units arranged,,"For teaching assistants in Brain and Cognitive Sciences, in cases where teaching assignment is approved for academic credit by the department. ","G (Fall, Spring)",Can be repeated for credit.,Staff,Prereq: None 
9.921,Research in Brain and Cognitive Sciences,Units arranged,,Guided research under the sponsorship of individual members of the faculty. Ordinarily restricted to candidates for the doctoral degree in Course 9. ,"G (Fall, Spring, Summer)",Can be repeated for credit.,Staff,Prereq: Permission of instructor 
9.941,Graduate Thesis Proposal,Units arranged [P/D/F],,Students submit written proposals for thesis according to stated deadlines. ,"G (Fall, Spring, Summer)",Can be repeated for credit.,Staff,Prereq: Permission of instructor 
9.97,Introduction to Neuroanatomy,1-0-0 units,,"Intensive introduction to neuroanatomy that consists of lectures, demonstrations, and interactive laboratories, including a brain dissection. No prior knowledge of neuroanatomy required, although general knowledge of brain structures is helpful. Pre-register on WebSIS; must attend first class. Limited to 24.","['U (IAP)', 'Not offered regularly; consult department']",,R. Ellis-Behnke,Prereq: None 
9.980[J],"Leadership and Professional Strategies & Skills Training (LEAPS), Part I: Advancing Your Professional Strategies and Skills (New)",2-0-1 units,"Same subject as 5.961[J], 8.396[J], 12.396[J], 18.896[J]",See description under subject 8.396[J]. Limited to 80.,G (Spring; second half of term),,A. Frebel,Prereq: None 
9.981[J],"Leadership and Professional Strategies & Skills Training (LEAPS), Part II: Developing Your Leadership Competencies (New)",2-0-1 units,"Same subject as 5.962[J], 8.397[J], 12.397[J], 18.897[J]",See description under subject 8.397[J]. Limited to 80.,G (Spring; first half of term),,D. Rigos,Prereq: None 
9.S51,Special Subject in Brain and Cognitive Sciences,Units arranged,,Undergraduate study in brain and cognitive sciences; covers material not offered in regular curriculum. ,"['U (Fall)', 'Not offered regularly; consult department']",Can be repeated for credit.,I. Pepperberg,Prereq: 9.00 and any other two subjects in Brain and Cognitive Sciences 
9.S52,Special Subject in Brain and Cognitive Sciences,Units arranged,,Undergraduate study in brain and cognitive sciences; covers material not offered in regular curriculum. ,"['U (Spring)', 'Not offered regularly; consult department']",Can be repeated for credit.,E. Fedorenko,Prereq: 9.00 and any other two subjects in Brain and Cognitive Sciences 
9.S911,Special Subject in Brain and Cognitive Sciences,Units arranged [P/D/F],,Advanced graduate study in brain and cognitive sciences; covers material not offered in regular curriculum. 9.S911 is graded P/D/F. ,G (Fall; partial term),Can be repeated for credit.,N. G. Kanwisher,Prereq: Permission of instructor 
9.S912,Special Subject in Brain and Cognitive Sciences,Units arranged,,Advanced graduate study in brain and cognitive sciences; covers material not offered in regular curriculum. ,"['G (Fall)', 'Not offered regularly; consult department']",Can be repeated for credit.,L. Schulz,Prereq: Permission of instructor 
9.S913,Special Subject in Brain and Cognitive Sciences,Units arranged,,Advanced graduate study in brain and cognitive sciences; covers material not offered in regular curriculum. ,G (Spring),Can be repeated for credit.,"M. Kellis, M. Heiman",Prereq: Permission of instructor 
9.S914,Special Subject in Brain and Cognitive Sciences,Units arranged,,Advanced graduate study in brain and cognitive sciences; covers material not offered in regular curriculum. ,G (Fall),Can be repeated for credit.,R. Saxe,Prereq: Permission of instructor 
9.S915,Special Subject in Brain and Cognitive Sciences,Units arranged,,Advanced graduate study in brain and cognitive sciences; covers material not offered in regular curriculum. ,G (Fall),Can be repeated for credit.,Staff,Prereq: Permission of instructor 
9.S916,Special Subject in Brain and Cognitive Sciences,Units arranged,,Advanced graduate study in brain and cognitive sciences; covers material not offered in regular curriculum. ,"['Acad Year 2022-2023: G (Spring)', 'Acad Year 2023-2024: Not offered']",Can be repeated for credit.,Staff,Prereq: Permission of instructor 
9.S917,Special Subject in Brain and Cognitive Sciences,Units arranged,,Advanced graduate study in brain and cognitive sciences; covers material not offered in regular curriculum. ,G (Fall; second half of term),Can be repeated for credit.,"L. Udeigwe, J. DiCarlo, R. Ajemian ",Prereq: Permission of instructor 
9.S918,Special Subject in Brain and Cognitive Sciences,Units arranged [P/D/F],,Advanced graduate study in brain and cognitive sciences; covers material not offered in regular curriculum. 9.S918 is graded P/D/F. ,"['G (Fall, Spring)', 'Not offered regularly; consult department']",Can be repeated for credit.,J. DiCarlo,Prereq: Permission of instructor 
9.S92,Special Subject in Brain and Cognitive Sciences,Units arranged,,Undergraduate study in brain and cognitive sciences; covers material not offered in regular curriculum. ,"['U (Fall)', 'Not offered regularly; consult department']",Can be repeated for credit.,Consult F. Wang,Prereq: 9.00 
9.S93,Special Subject in Brain and Cognitive Sciences,Units arranged [P/D/F],,For undergraduate study in brain and cognitive sciences; covers material not offered in regular curriculum. ,"['U (Spring)', 'Not offered regularly; consult department']",,Staff,Prereq: None 
9.S94,Special Subject in Brain and Cognitive Sciences,Units arranged [P/D/F],,For undergraduate study in brain and cognitive sciences during Independent Activities Period; covers material not offered in regular curriculum. See IAP Guide for details. ,"['U (IAP)', 'Not offered regularly; consult department']",Can be repeated for credit.,Staff,Prereq: None 
9.S95,Special Subject in Brain and Cognitive Sciences,Units arranged [P/D/F],,For undergraduate study in brain and cognitive sciences during Independent Activities Period; covers material not offered in regular curriculum. See IAP Guide for details. ,"['U (IAP)', 'Not offered regularly; consult department']",Can be repeated for credit.,Staff,Prereq: None 
9.S96,Special Subject in Brain and Cognitive Sciences,Units arranged [P/D/F],,For undergraduate study in brain and cognitive sciences during Independent Activities Period; covers material not offered in regular curriculum. See IAP Guide for details. ,"['U (IAP)', 'Not offered regularly; consult department']",Can be repeated for credit.,Consult Staff,Prereq: None 
9.S97,Special Subject in Brain and Cognitive Sciences,Units arranged [P/D/F],,For undergraduate study in brain and cognitive sciences during Independent Activities Period; covers material not offered in regular curriculum. See IAP Guide for details. ,"['U (IAP)', 'Not offered regularly; consult department']",Can be repeated for credit.,Staff,Prereq: None 
9.S98,Special Subject in Brain and Cognitive Sciences,Units arranged [P/D/F],,For undergraduate study in brain and cognitive sciences during Independent Activities Period; covers material not offered in regular curriculum. See IAP Guide for details. ,"['U (IAP)', 'Not offered regularly; consult department']",Can be repeated for credit.,Staff,Prereq: None 
9.S99,Special Subject in Brain and Cognitive Sciences,Units arranged,,For undergraduate study in brain and cognitive sciences; covers material not offered in regular curriculum. ,U (Spring),,"M. Kellis, M. Heiman",Prereq: None 
9.THG,Graduate Thesis,Units arranged,,Program of research leading to the writing of a Ph.D. thesis; to be arranged by the student and an appropriate MIT faculty member. ,"G (Fall, IAP, Spring, Summer)",Can be repeated for credit.,Staff,Prereq: Permission of instructor 
9.UR,Undergraduate Research,Units arranged [P/D/F],,Individual participation in an ongoing research project. ,"U (Fall, IAP, Spring, Summer)",Can be repeated for credit.,Staff,Prereq: None 
9.URG,Undergraduate Research,Units arranged,,Individual participation in an ongoing research project. ,"U (Fall, IAP, Spring, Summer)",Can be repeated for credit.,Consult Staff,Prereq: None 
10.00,Molecule Builders,1-3-2 units,,"Project-based introduction to the applications of engineering design at the molecular level. Working in teams, students complete an open-ended design project that focuses on a topic such as reactor or biomolecular engineering, chemical process design, materials and polymers, or energy. Provides students practical exposure to the field of chemical engineering as well as potential opportunities to continue their project designs in national/international competitions. Limited to 36; preference to first year students.",U (Spring),,B. D. Olsen,Prereq: Chemistry (GIR) and Physics I (GIR) 
10.000,Engineering Molecular Marvels: Careers and ChemE at MIT,2-0-0 units,,"Exposes students to the ways in which chemical technologies have profoundly altered the course of history. Discusses the next century's great challenges, such as curing cancer and supplying the planet's surging demand for clean water, food and energy, sustainably. Provides an overview of how ChemE students apply fundamental engineering principles and leverage technology, from molecules to systems, in the pursuit of practical solutions for these problems and more. Subject can count toward the 6-unit discovery-focused credit limit for first year students. ",U (Spring),,T. A. Kinney,Prereq: None 
10.01,Ethics for Engineers,2-0-4 units,"['Engineering School-Wide Elective Subject.', 'Offered under: 1.082, 2.900, 6.9320, 10.01, 16.676, 22.014', 'Subject meets with 6.9321, 20.005']","Explores the ethical principles by which an engineer ought to be guided. Integrates foundational texts in ethics with case studies illustrating ethical problems arising in the practice of engineering. Readings from classic sources including Aristotle, Kant, Locke, Bacon, Franklin, Tocqueville, Arendt and King. Case studies include articles and films that address engineering disasters, safety, biotechnology, the internet and AI, and the ultimate scope and aims of engineering. Different sections may focus on themes, such as AI or biotechnology. Students taking independent inquiry version 6.9321 will expand the scope of their term project. Students taking 20.005 focus their term project on a problem in biological engineering in which there are intertwined ethical and technical issues. ","U (Fall, Spring)",,"D. A. Lauffenberger, B. L. Trout",Prereq: None 
10.02,Foundations of Entrepreneurship for Engineers,3-0-9 units,,"Studies economic and leadership foundations of entrepreneurship as they relate to engineering. Case studies illustrate major impacts of engineering on the world and examine the leaders responsible for such impacts. Authors include Franklin, Keynes, Leonardo, Lincoln, Locke, Machiavelli, Marx, Schmidt, Schumpeter, Smith, Thiel, and Tocqueville. Discusses topics such as the difference between an entrepreneur and a manager, the entrepreneur as founder, and characteristics of principled entrepreneurship. ","['U (Spring)', 'Not offered regularly; consult department']",,"D. Doneson, B. L. Trout",Prereq: None 
10.03[J],Advances in Biomanufacturing,1-0-2 units,"['Same subject as 7.458[J]', 'Subject meets with 7.548[J], 10.53[J]']","Seminar examines how biopharmaceuticals, an increasingly important class of pharmaceuticals, are manufactured. Topics range from fundamental bioprocesses to new technologies to the economics of biomanufacturing. Also covers the impact of globalization on regulation and quality approaches as well as supply chain integrity. Students taking graduate version complete additional assignments. ",U (Spring; second half of term),,"J. C. Love, A. Sinskey, S. Springs",Prereq: None 
10.04,A Philosophical History of Energy,3-0-9 units,,"Philosophic and historical approach to conceptions of energy through the 19th century. Relation of long standing scientific and philosophic problems in the field of energy to 21st-century debates. Topics include the development of thermodynamics and kinetic theories, the foundation of the scientific project, the classical view of energy, and the harnessing of nature. Authors include Bacon, Boltzmann, Carnot, Compte, Descartes, Gibbs, Plato, Aristotle, Leibniz, Kant, Hegel, Mill, Peirce, Whitehead, and Maxwell. Key texts and controversies form topics of weekly writing assignments and term papers. ","['U (Spring)', 'Not offered regularly; consult department']",,"B. L. Trout, A. Schulman",Prereq: None 
10.05,Foundational Analyses of Problems in Energy and the Environment,3-0-9 units,,"Investigates key texts and papers on the foundational thought of current issues in energy and environmental science. Builds an understanding of key debates (scientific, ethical, and political). Aims to inform solutions to key problems related to procurement of energy and environmental degradation. Topics address alternative energy technologies and fossil fuel utilization and emissions, especially carbon dioxide, carbon dioxide sequestration, and geoengineering. Foundational readings from Homer and Greek playwrights, Aristotle, Genesis, Bacon, Locke, Rousseau, Coleridge, Carnot, Clausius, Marx, Heidegger, Carson, Gore, Singer, and Brundtland. Assignments include weekly analyses of readings, videos and related engineering calculations in addition to a final project. Limited to 18.","['U (Spring)', 'Not offered regularly; consult department']",,B. L. Trout,Prereq: None 
10.06,Advanced Topics in Ethics for Engineers,2-0-4 units,,"In-depth study of varying advanced topics in ethics for engineers. Focuses on foundational works and their significance for the choices that engineers make, both as students and as practicing engineers. Each semester, different works and topics, based on current and perennial issues in ethics and engineering, will be chosen in order to explore facets of the extremely complex and varied subject of the place of engineering for the individual and society. Examples of topics include genetic engineering and what it means to be human, artificial intelligence and thought, the scope and limits of engineering, and engineering and freedom. May be repeated for credit with permission of instructor. Limited to 20.","['U (Fall, Spring)', 'Not offered regularly; consult department']",Can be repeated for credit.,"B. L. Trout, D. Doneson","Prereq: 10.01, 10.05, or permission of instructor "
