name,school_affiliation,keywords
Douglas Hart,mechanical-engineering,"Experiments and Design Considerations toward a Novel Continuous Flow Aluminum Fuel Reactor for Underwater Vehicles; Adaptive Hydraulics for Improved Centrifugal Pump Efficiency; Thermodynamically-driven Advances in Efficient and Cost-Effective Desalination and Brine Concentration; Mechanisms of Liquid-Metal-Activated Aluminum-Water Reactions and Their Application; Elements of lubricant transport critical to piston skirt lubrication and to leakage into the piston ring pack in internal combustion engines; Quasi-Monte Carlo and Picard Iteration Algorithms for the Nonlinear Hydrodynamics, Dynamics and Controls of Wave Energy Converters; Energy-time optimal path planning in strong dynamic flows; Kilowatt-Scale Fuel Cell Systems Powered by Recycled Aluminum; Design and development of a novel liquid desiccant air-conditioning system; Exploring low-cost deep ocean sensing utilizing undersea cable networks; Parametric design and performance validation of low-cost, low-pressure drip emitters and irrigation systems; Design of a mechanism to increase lateral force resistance of an autonomous ship hull cleaning robot; High-Power Fuel Cell Systems Fueled by Recycled Aluminum; Broadband leaky Lamb waves excited by optical breakdown in water; Hydrogen production from aluminum-water reactions subject to varied pressures and temperatures; A Multi-modal Robot for Ground and Aerial Locomotion; Challenges facing agriculture : evaluation of the impact of AgTech, recommendations, and opportunity identification in food waste reduction; Systems analysis, design, and testing for an agricultural soil compaction sensing device; Scalability of carbon-neutral cooling system; Analyzing the effect of pressure drop on flow rate of hot water in the intercoolers assembly of the Lean Operation Rotary Adsorption Cooling System"
Neville Hogan,mechanical-engineering,"Mechanical effects of canes on standing posture: beyond perceptual information; Towards Perturbation-free Identification of Human Standing Balance; A Virtual Muscle Model of the Arm for EMG-Driven Control
of Prostheses; Electrostatically Levitated Object Handoff to Minimize Wear and Particle Generation; Analysis, Design, and Control of Supernumerary Robotic Limbs Coupled to a Human; Preparing to move: Setting initial conditions to simplify interactions with complex objects; Frequency-dependent force direction elucidates neural control of balance; Effects of Mechanical Interventions on Human Locomotion; Methods for Control in Robotic Excavation; Stabilizing demonstration trajectories of linear deformable objects for robotic shoe tying; Towards the Development of an Adaptive Rehabilitative Device; Dynamic Primitives in Human Manipulation of Complex Objects; Identifying human postural dynamics and control from unperturbed balance; Head-Mounted Display-Based Therapies for Adults Post-Stroke: A Systematic Review and Meta-Analysis; Energy budgets for coordinate invariant robot control in physical human–robot interaction; Exploiting Redundancy to Facilitate Physical Interaction; Towards a non-invasive measurement of human motion, force, and impedance during a complex physical-interaction task : wire-harnessing; Dynamic primitives facilitate manipulating a whip; Dexterous manipulation with simple grippers; Estimating output torque via amplitude estimation and neural drive : a high-density sEMG study"
Anette E. Hosoi,mechanical-engineering,
Ian Hunter,mechanical-engineering,"MICA: Fluid Flow Over Varying Geometries; Perception and Control Methods for Improving the Autonomy of Off-Road Robots; Development of Wireless Sensor Network to Detect Lameness in Dairy Cows; Tool Carousel to Support Agricultural Rover Soil Testing; Development of Precision, Field-Deployable, Opto-Mechanical Instrumentation: Accessibility as a Functional Requirement; Auto-Exposure Algorithm for Enhanced Mobile Robot Localization in Challenging Light Conditions; Microplasma-Enabled Sputtering of Nanostructured Materials for the Agile Manufacture of Electronic Components; Hydrogen Fuel Cell Driven Origami-Inspired Large-Elongation Soft Robot Modules; Design and Control of a Mounted Robotic Arm Tool Changer and Measurement Tools for Agriculture; Computational tools towards automating the scientific method; Determining phosphate levels in natural water using a novel electrochemical measurement device; Design of a two-stage multi-state experimental biogas reactor; Development of a miniature, low power, solid state, continuously sensitive, diffusion cloud chamber; Design of a high performance liquid-cooled lithium-ion battery pack for automotive applications; Development and validation of a single mass Lap simulation; Magnetomicrometry : tissue length tracking via implanted magnetic beads; Dynamic Fluid‐Like Graphene with Ultralow Frictional Molecular Bearing; Tracking Microstructure Evolution in Complex Biaxial Strain Paths: A Bulge Test Methodology for the Scanning Electron Microscope; A miniature, broadband acoustic spectrometer : design of a unified attenuation model, device development, and experimental performance; Increased production of aligned cellulose nanofibrils using microfluidic mixture chambers"
Roger Dale Kamm,mechanical-engineering,
Kenneth N. Kamrin,mechanical-engineering,
Sang-Gook Kim,mechanical-engineering,"Density-shift Immunomagnetic Separation for Pathogen Retrieval from Complex Media; Application of Natural Language Processing to Unstructured Data: A Case Study of Climate Change; Design Knowledge Base Using Natural Language Processing; Representing Knowledge for Data-Driven Design; Equipment Installation Quality Improvement; Oversized Package Placement Optimization in Warehouses; Design of Inverted Nano-Cone Arrayed SERS Substrate for Rapid Detection of Pathogens; Ship design through Axiomatic Design approach, sustainable engineering principles and artificial intelligence methods; Measuring functional independence in design with deep-learning language representation models; Cost of complexity : mitigating transition complexity in mixed-model assembly lines; Design of anti-biofouling Lubricant-Impregnated Surfaces (LIS) robust to cell-growth-induced instability; Neuromorphic computing systems : crystalline resistive random access memory; A Review on Piezoelectric Energy Harvesting: Materials, Methods, and Circuits; Implementation of automated visual inspection machines in biopharmaceutical industry; Transport of n-alkanes through graphene nanoporous atomically thin membrane; Challenges facing agriculture : evaluation of the impact of AgTech, recommendations, and opportunity identification in food waste reduction; Buckled MEMS Beams for Energy Harvesting from Low Frequency Vibrations; Energy Harvesting Combat Boot for Satellite Positioning; Design and fabrication of a flexible membrane ultrasound transducer; Low-frequency vibrational energy harvesting at the micro and meso scale"
Sangbae Kim,mechanical-engineering,"Vision-based Proprioceptive and Force Sensing for Soft Robotic Actuator; Structuring Optimal Control of Legged Locomotion with Learning-based Methods; Robotic Finger Hardware and Controls Design for Dynamic Piano Playing; Mini Cheetah Sensor Suite for Visual Perception; Expanding the Capabilities of Dynamic Robotic Systems; MIT SoFi: A Study in Fabrication, Target Tracking, and Control of Soft Robotic Fish; User Based Design of Medical Devices for Translation from Prototype to Clinical Device; Optimizing Shoe Midsoles for Running Performance; Development and Validation of a Passive Prosthetic Foot Design Framework based on Lower Leg Dynamics; Generalizable Modelling of Vacuum-Powered Soft Actuators And Its Use in Design for Mechanical Assistive Applications; Hydrogen Fuel Cell Driven Origami-Inspired Large-Elongation Soft Robot Modules; Electromagnetic and Systems Design of a Permanent Magnet Synchronous Motor for an Electric Vehicle; Fabrication and Characterization of Folded Foils Supporting Streamwise Traveling Waves; Trajectory optimization for dynamic aerial motions of legged robots; Sound absorption of acoustic resonators with oblique perforations; Are two heads better than one in CAD? a comparison of various CAD working styles; Vision-aided planning for robust autonomous navigation of small-Scale quadruped robots; Bi-modal hemispherical sensors for three axis force and contact angle measurement; Design of a high torque density modular actuator for dynamic robots; Design architecture for dynamic low inertia multi DOF robotic manipulators"
Robert Langer,mechanical-engineering,
Steven B. Leeb,mechanical-engineering,
John J. Leonard,mechanical-engineering,"Adaptive Collaborative Channel Finding Approaches for Autonomous Marine Vehicles; Perception and Motion Planning for Autonomous Surface Vehicles in Aquaculture; Active Simultaneous Localization and Mapping in Perceptually Aliased Underwater Environments; Perception and Control Methods for Improving the Autonomy of Off-Road Robots; Time-Optimal Path Planning in the Portugal-Azores-Madeira Ocean Region; Mini Cheetah Sensor Suite for Visual Perception; Ultra-Wideband Error Modeling for Improved Localization; Information-Driven Path Planning; Energy-time optimal path planning in strong dynamic flows; Incorporating contact management and marine dynamics in decentralized auction bidding for autonomous surface vehicles; A method for on-line water current velocity estimation using Lol-cost autonomous underwater vehicles; A planned approach to high collision risk area; Toward robust active semantic SLAM via Max-Mixtures; Deep learning-based approaches for depth and 6-DoF pose estimation; Non-parametric Mixed-Manifold Products using Multiscale Kernel Densities; Probabilistic Risk Metrics for Navigating Occluded Intersections; Non-Gaussian SLAM utilizing Synthetic Aperture Sonar; Underwater multi-vehicle co-operative target-tracking; Dense, sonar-based reconstruction of underwater scenes; Planning under uncertainty in resource-constrained systems"
John H. Lienhard,mechanical-engineering,"Energy and water without carbon: Integrated desalination and nuclear power at Diablo Canyon; Steady 2D Conduction: Simple and Double Layer Potentials, Corner Singularities, and Induced Heat Flux; In Memoriam: Professor Peter Griffith (1927–2022); Revisiting the Schrage Equation for Kinetically Limited Evaporation and Condensation; Airflow in Interior Spaces: Implications on Comfort and Health; Bioresorbable Osmotic Pump for Long–term Contraception; Point of Use Semi-Batch Reverse Osmosis Desalination Prototype Experimental Validation; Simple, sustainable, water straight from the sun - batteryless electrodialysis desalination; Thermodynamically-driven Advances in Efficient and Cost-Effective Desalination and Brine Concentration; Thermodynamics of solvent-driven water extraction from hypersaline brines using dimethyl ether; Replacing chloride anions in dyeing enables cheaper effluent concentration and recycling; Multicomponent Fickian solution-diffusion model for osmotic transport through membranes; Cost effectiveness of conventionally and solar powered monovalent selective electrodialysis for seawater desalination in greenhouses; Advances and challenges in metal ion separation from water; Computational Modelling of Nutrient Recovery from the Greenhouse Water Cycle Using Monovalent Selective Electrodialysis; Mechanisms of Liquid-Metal-Activated Aluminum-Water Reactions and Their Application; Caustic Soda Production, Energy Efficiency, and Electrolyzers; Making Decentralized Desalination More Affordable Using Improved Process Design, Control, and Energy Recovery; Can Batch Reverse Osmosis Make Desalination More Affordable and Sustainable?; Review of Membrane-Based Brackish Groundwater Desalination and Pretreatment in the United States"
Seth Lloyd,mechanical-engineering,"Shaping light-matter interactions for free-electron radiation and photonic computing; Development of Precision, Field-Deployable, Opto-Mechanical Instrumentation: Accessibility as a Functional Requirement; Quantum Optimal Transport with Quantum Channels; Adversarial Robustness Guarantees for Random Deep Neural Networks; Quantum Computer Systems for Scientific Discovery; The Quantum Wasserstein Distance of Order 1; Quantum-inspired algorithms for solving low-rank linear equation systems with logarithmic dependence on the dimension; Quantum advantage in postselected metrology; Quantum artificial intelligence : learning unitary transformations; Hardware-efficient quantum error correction with nitrogen-vacancy centers; Dense coding capacity of a quantum channel; Convex optimization of programmable quantum computers; Variational quantum unsampling on a quantum photonic processor; Operational quantum resource theories : unified framework and applications; Quantum-inspired algorithms in practice; Polylog-LDPC Capacity Achieving Codes for the Noisy Quantum Erasure Channel; Continuous-variable quantum neural networks; Quantum algorithm for nonhomogeneous linear partial differential equations; Emergent Prethermalization Signatures in Out-of-Time Ordered Correlations; A CMOS-integrated quantum sensor based on nitrogen–vacancy centres"
Nicholas Makris,mechanical-engineering,
Scott R. Manalis,mechanical-engineering,"Weighing the DNA Content of Adeno-Associated Virus Vectors with Zeptogram Precision Using Nanomechanical Resonators; Nucleotide imbalance decouples cell growth from cell proliferation; Inertial and viscous flywheel sensing of nanoparticles; Measuring kinetics and metastatic propensity of CTCs by blood exchange between mice; Metabolic regulation of mammalian cell growth and proliferation; Oncogenic HSP90 facilitates metabolic alterations in aggressive B-cell lymphomas; Variations of intracellular density during the cell cycle arise from tip-growth regulation in fission yeast; Cell size is a determinant of stem cell potential during aging; Suspended Nanochannel Resonator Arrays with Piezoresistive Sensors for High-Throughput Weighing of Nanoparticles in Solution; Single-cell mass measurements for drug susceptibility testing in cancer; Mass measurements during lymphocytic leukemia cell polyploidization decouple cell cycle- and cell size-dependent growth; A comparison of microfluidic methods for high-throughput cell deformability measurements; YAP Enhances Tumor Cell Dissemination by Promoting Intravascular Motility and Reentry into Systemic Circulation; Monitoring and modeling of lymphocytic leukemia cell bioenergetics reveals decreased ATP synthesis during cell division; Rapid and high-precision sizing of single particles using parallel suspended microchannel resonator arrays and deconvolution; Mammalian cell growth dynamics in mitosis; Noninvasive monitoring of single-cell mechanics by acoustic scattering; Excessive Cell Growth Causes Cytoplasm Dilution And Contributes to Senescence; Alveolar proteins stabilize cortical microtubules in Toxoplasma gondii; Dynamics of single-cell mass, volume and stiffness during mitosis"
Gareth H. McKinley,mechanical-engineering,
David M. Parks,mechanical-engineering,
Anthony T. Patera,mechanical-engineering,"A two-level parameterized Model-Order Reduction approach for time-domain elastodynamics; New overlapping finite elements and their application in the AMORE paradigm; A two-step port-reduced reduced-basis component method for time domain elastodynamic PDE with application to structural health monitoring; Randomized Residual-Based Error Estimators for Parametrized Equations; A Localization Strategy for Data Assimilation; Application to State Estimation and Parameter Estimation; Model order reduction methods for data assimilation : state estimation and structural health monitoring; Simulation methods for plasmonic structures; Optimal Local Approximation Spaces for Component-Based Static Condensation Procedures; Simulation-Based Classification; a Model-Order-Reduction Approach for Structural Health Monitoring; Component-based reduced basis for parametrized symmetric eigenproblems; A parameterized-background data-weak approach to variational data assimilation: formulation, analysis, and application to acoustics; A space-time certified reduced basis method for Burgers' equation; A port-reduced static condensation reduced basis element method for large component-synthesized structures: approximation and A Posteriori error estimation; The Static Condensation Reduced Basis Element Method for a Mixed-Mean Conjugate Heat Exchanger Model; A model-data weak formulation for simultaneous estimation of state and model bias; An improved error bound for reduced basis approximation of linear parabolic problems; Port reduction in parametrized component static condensation: approximation and a posteriori error estimation; A space-time variational approach to hydrodynamic stability theory; Hydrodynamic resistance and sorting of deformable particles in microfluidic circuits; Experimental determination of the thermal properties of multi-layered surfaces"
Nicholas M. Patrikalakis,mechanical-engineering,"Deep learning-based approaches for depth and 6-DoF pose estimation; New overlapping finite elements and their application in the AMORE paradigm; Omnidirectional obstacle detection using minimal sensing; Underwater multi-vehicle co-operative target-tracking; Reconfigurable Autonomous Surface Vehicles : perception and trajectory optimization algorithms; Building and controlling fluidically actuated soft robots : from open loop to model-based control; Two-Stage Focused Inference for Resource-Constrained Collision-Free Navigation; Asymptotically optimal path planning and surface reconstruction for inspection; A programmable pipeline for multi-material fabrication; Mobile sensor systems for field estimation and ""hot spot"" identification; Experiments on Surface Reconstruction for Partially Submerged Marine Structures; Cooperative localization of marine vehicles using nonlinear state estimation; Editorial; Asymptotically optimal inspection planning using systems with differential constraints; Design and control of a soft biomimetic batoid robot; Framework for multi-vehicle adaptive sampling of jets and plumes in coastal zones; System design of an unmanned aerial vehicle (UAV) for marine environmental sensing; Point-Based Policy Transformation: Adapting Policy to Changing POMDP Models; Modeling and Inspection Applications of a Coastal Distributed Autonomous Sensor Network; Global Motion Planning under Uncertain Motion, Sensing, and Environment Map"
Thomas Peacock,mechanical-engineering,
Emanuel Michael Sachs,mechanical-engineering,
Themistoklis Sapsis,mechanical-engineering,"Ship Power Prediction Using Machine Learning; Towards Perturbation-free Identification of Human Standing Balance; Reconstructing 3D ocean temperature fields from real-time satellite and buoy surface measurements; Quantifying Extreme Event Statistics for Ship Motions and Loads Using Low-Fidelity Models and Recurrent Neural Networks; Intense cross-scale energy cascades resembling “mechanical turbulence” in harmonically driven strongly nonlinear hierarchical chains of oscillators; Efficient Sampling Methods of, by, and for Stochastic Dynamical Systems; Methods to Reduce Backlogged Maintenance of Los Angeles Class Submarines; Hydrodynamic Interactions of an Unmanned Underwater Vehicle Operating in Close Proximity to a Moving Submarine; Output-Weighted Optimal Sampling for Bayesian Experimental Design and Uncertainty Quantification; Prediction, analysis, and learning of advective transport in dynamic fluid flows; Machine-learning mesoscale and submesoscale surface dynamics from lagrangian ocean drifter trajectories; Fuel tank corrosion impacts on future fleet readiness; Deformation-assisted antifouling of surfaces; Strong solutions for the Alber equation and stability of unidirectional wave spectra; Surface waves enhance particle dispersion; Offshore wind turbine nonlinear wave loads and their statistics; Simulation-guided lattice geometry optimization of a lightweight metal marine propeller for additive manufacturing; Risk based decision making for the deferment of U.S. Navy submarine maintenance; Computational imaging through deep learning; Machine learning non-local closures for turbulent anisotropic multiphase flows"
Sanjay E. Sarma,mechanical-engineering,"Digital Twins: Digital Twin Meets Digital Cousin; CYBERSECURITY; HAPHAZARD REALITY; LiDAR Iris for Loop-Closure Detection; Frontier Detection and Reachability Analysis for Efficient 2D Graph-SLAM Based Active Exploration; Towards security by design of connected and automated vehicles : cyber and physical threats, mitigations, and architectures; Molecular Virology: SARS-CoV-2 and CoVID-19 (Current Topics); A Folded Monopole Shaped Novel Soil Moisture and Salinity Sensor for Precision Agriculture Based Chipless RFID Applications; Low-cost diaper wetness detection using hydrogel-based RFID tags; PointGrow: Autoregressively Learned Point Cloud Generation with Self-Attention; PEAS - Making Meaningful Sense of Sensor Data and Information; Deep learning-based approaches for depth and 6-DoF pose estimation; Introducing perovskites to the IoT world using photovoltaic-powered ID tags; Towards Industrial IoT-AR Systems using Deep Learning-Based Object Pose Estimation; A smart diaper wetness detection sensor : concept, design and ethical considerations; Real-time Trust-Building Schemes for Mitigating Malicious Behaviors in Connected and Automated Vehicles; Dynamic Graph CNN for Learning on Point Clouds; Perovskite PV-Powered RFID: Enabling Low-Cost Self-Powered IoT Sensors; Learning Gestures Using A Passive Data-Glove With RFID Tags; Self‐Powered Sensors Enabled by Wide‐Bandgap Perovskite Indoor Photovoltaic Cells"
Henrik Schmidt,mechanical-engineering,"Adaptive Collaborative Channel Finding Approaches for Autonomous Marine Vehicles; A Novel Trajectory Vector Approach for Characterizing Dynamic Changes in the Performance-Load Representation of Cardiac State; Perception and Motion Planning for Autonomous Surface Vehicles in Aquaculture; Vehicle autonomy under the Arctic ice: environmental adaptation through model-aided machine learning; Advances in Passive Acoustic Detection, Localization, and Tracking Applied to Unmanned Underwater Vehicles; Under-ice acoustic navigation using real-time model-aided range estimation; Environmental Effects of the Beaufort Lens on Underwater
Acoustic Communications during Arctic Operations; Oystamaran: An Implementation of Autonomy in Surface Vehicles for Oyster Farming; Ambient Acoustics as Indicator of Environmental Change in the Beaufort Sea: Experiments & Methods for Analysis; Energy-time optimal path planning in strong dynamic flows; Signal absorption-based range estimator for undersea swarms; Statistical analysis of ultrasound signals for tissue characterization : the Homodyned K Distribution; A method for on-line water current velocity estimation using Lol-cost autonomous underwater vehicles; A planned approach to high collision risk area; Stochastic acoustic ray tracing with dynamically orthogonal equations; Beamforming performance enhancement by adaptive hyperbola array shape estimation; Design, construction, and analysis of a modular ship model and open-source autonomous surface vehicle; Using image processing methods for a radar estimate of marine vehicle odometry; Passive Inverted Ultra-Short Baseline (piUSBL) Localization: An Experimental Evaluation of Accuracy; Non-Gaussian SLAM utilizing Synthetic Aperture Sonar"
Paul D. Sclavounos,mechanical-engineering,
Warren Seering,mechanical-engineering,"Designing & Manufacturing Free-Ride Skis; A Model for Set-Based Design at the System-of-Systems Scale with Approaches for Emergent Properties; Point of Use Semi-Batch Reverse Osmosis Desalination Prototype Experimental Validation; An Integrated Design and Management Program for Taiwan; Designing Data Coops for Women’s Health; Systems Thinking for Social Changemakers; Naval Submarine Maintenance: An Examination of Areas of Potential Availability Execution Risk; Quantifying Flexibility in Naval Ship Design; Deep Unsupervised Anomaly Detection Applied to Motor-Driven Blowers; Design of a Market Exchange for Climate risk; Strengths and Challenges of Mechanical Design Processes in a Federally Funded Research and Development Center; From Data-Centric to Citizen-Centric Architecture: Architecting a Future State for Open Data in the Government of Puerto Rico; Making Makerspaces more accessible for people with visual impairment: Understanding user needs to reimagine solutions.; An Analytical Approach to Automate Stratigraphic Correlation using Well Logging Information; Unit Hours as a Key Performance Indicator; Determining Optimal Supply Level for Intermittent and Low Demand Parts; Building Resilient Supply Chain using Interactive Visualization; Understanding our students : how aspects of students' pre-collegiate lives correlate with self advocacy, confidence, and risk taking; A maturity model for process data analytics in biopharmaceutical manufacturing; Understanding the motivations for open-source hardware entrepreneurship"
Yang Shao-Horn,mechanical-engineering,
Alexander H. Slocum,mechanical-engineering,
Jean-Jacques E. Slotine,mechanical-engineering,
Peter T. C. So,mechanical-engineering,
Alexandra H. Techet,mechanical-engineering,
Russell L. Tedrake,mechanical-engineering,
Michael S. Triantafyllou,mechanical-engineering,
David L. Trumper,mechanical-engineering,
J. Kim Vandiver,mechanical-engineering,
Kripa K. Varanasi,mechanical-engineering,
David Robert Wallace,mechanical-engineering,
Evelyn N. Wang,mechanical-engineering,
Tomasz Wierzbicki,mechanical-engineering,
James H. Williams Jr,mechanical-engineering,
Maria Yang,mechanical-engineering,
Ioannis V. Yannas,mechanical-engineering,"Mammals fail to regenerate organs when wound contraction drives scar formation; Neural stem cell delivery via porous collagen scaffolds promotes neuronal differentiation and locomotion recovery in spinal cord injury; Hesitant steps from the artificial skin to organ regeneration; Regeneration mechanism for skin and peripheral nerves clarified at the organ and molecular scales; Regeneration of injured skin and peripheral nerves requires control of wound contraction, not scar formation; Surface biology of collagen scaffold explains blocking of wound contraction and regeneration of skin and peripheral nerves; In Situ Quantification of Surface Chemistry in Porous Collagen Biomaterials; Quantifying the surface chemistry of 3D matrices in situ; Image informatics for studying signal transduction in cells interacting with 3D matrices; Cell-mediated contraction & induced regeneration of the injured peripheral nerve; Application of endostatin using nonviral gene delivery toward the regeneration of articular cartilage; Use of the parabiotic model in studies of cutaneous wound healing to define the participation of circulating cells; Drug delivery device for bladder disorders; Microarchitecture of Three-Dimensional Scaffolds Influences Cell Migration Behavior via Junction Interactions; Transcriptional analysis of the healing response of wounded nerves treated with collagen and silicone tubes; Potential commercialization of a collagen-GAG scaffold for liver regeneration; The effect of Stromal cell Derived Factor-1 (SDF-1) and collagen-GAG (Glycosaminoglycan) scaffold on skin wound healing; Design of a novel anterior cruciate ligament prosthesis; In vitro pharmacological inhibition of myofibroblast differentiation and force generation in a collagen-GAG matrix; Inhibition of myofibroblast contraction"
Kamal Youcef-Toumi,mechanical-engineering,"Design and Manufacturing of a Lead Screw Robotic Gripper; Design and Performance of a Highly Mobile, Climbing, Wheeled, Soft-bodied Robot; Assessment and Operationalization of Automation in Final Product Manufacturing; System Design, Noise Reduction, and Improved Dimension Reconstruction for High Performance Ellipsometry; Hydrogel Machines - Design, Manufacturing, and Applications; Quantification and reduction of Poisson-Gaussian mixed noise induced errors in ellipsometry; Leveraging Data Analytics to Evaluate Proactive Interventions to Prevent Inventory Defects; Design of a Mechanical Sealing Device for Robotic Water Distribution Pipe Rehabilitation; Performance effects and causal mechanisms of mid-channel congestion in diesel particulate filters; Computational tools towards automating the scientific method; Fish-Inspired Task Allocation Algorithm for Multiple Unmanned Aerial Vehicles in Search and Rescue Missions; A generalized Bayesian approach to model calibration; The Bayesian validation metric : a framework for probabilistic model calibration and validation; Using discrete-event simulation to increase system capacity : a case study of an assembly plant; Applications of risk pooling for the optimization of spare parts with stochastic demand within large scale networks; Floor entry task prioritization for highly automated fulfillment centers; A quantitative analysis and assessment of the performance of image quality metrics; Why Simple Quadrature is just as good as Monte Carlo; Review of energy harvesting methods for twin screw extruders; Organizational architecture design and assessment of statistical feasibility for FSDA implementation in an airplane subassembly"
Dick K. P. Yue,mechanical-engineering,Effects of power-law entrainment on bubble fragmentation cascades; Optimization of the geometry of axisymmetric point-absorber wave energy converters; Heterogeneous Swarms for Maritime Dynamic Target Search and Tracking; Scale separation and dependence of entrainment bubble-size distribution in free-surface turbulence; Energetics of optimal undulatory swimming organisms; From Solar Cells to Ocean Buoys: Wide-Bandwidth Limits to Absorption by Metaparticle Arrays; An efficient multi-layer boundary element method for direct computation of sound propagation in shallow water environments; Design and testing of an autonomous mothership for surface vehicle swarm docking; Advancing the theory and applications of Lagrangian Coherent Structures methods for oceanic surface flows; Optical coordination of surface and subsurface autonomous vehicles; Theoretical and numerical study of air entrainment and bubble size distribution in strong free-surface turbulent flow at large Froude and Weber number; Folded functional foams; Gradual Collective Upgrade of a Swarm of Autonomous Buoys for Dynamic Ocean Monitoring; Mechanistic study of slug formation and evolution in high-viscosity-liquid/High-density-gas multiphase flows in channels/pipes; Distributed system of autonomous buoys for scalable deployment and monitoring of large waterbodies; Swarm-Enabling Technology for Multi-Robot Systems; Phase-resolved reconstruction and forecast of nonlinear irregular wave field based on direct numerical simulations; Understanding of weak turbulence of capillary waves; Phase-Resolved Wave Field Simulation Calibration of Sea Surface Reconstruction Using Noncoherent Marine Radar; Optimal configuration of large arrays of floating bodies for ocean wave energy extraction
Xuanhe Zhao,mechanical-engineering,"An extreme toughening mechanism for soft materials; Magnetic Soft Continuum Robots for Telerobotic Stroke Intervention; Device-Enabled Biomechanical Modulation of the
Infarcted Heart; Development of a high-fidelity biorobotic cardiovascular in vitro simulator; Soft Robotics Applied to the Development of a Diaphragm Assist System; Hydrogel Machines - Design, Manufacturing, and Applications; First-passage time analysis of particle transport in the cytoplasm; Electrolyte Structure with Explicit Solvent in Nanoslit Capacitors using Classical Density Functional Theory; Wet Adhesion and Bioadhesive Technology; A Multifunctional Patch for Minimally Invasive Tissue Sealing: Design Strategies and Applications; Evolutionary design of magnetic soft continuum robots; Hydrogel-based biocontainment of bacteria for continuous sensing and computation; Deformation-induced cleaning of organically fouled membranes: Fundamentals and techno-economic assessment for spiral-wound membranes; Electrical bioadhesive interface for bioelectronics; Geometry-driven filamentary structures : elastic gridshells, weaves, clasps, and knots; Soft Materials by Design: Unconventional Polymer Networks Give Extreme Properties; Adaptive and multifunctional hydrogel hybrid probes for long-term sensing and modulation of neural activity; Fracture of polymer networks with diverse topological defects; Ultrathin and Robust Hydrogel Coatings on Cardiovascular Medical Devices to Mitigate Thromboembolic and Infectious Complications; Designing Ferromagnetic Soft Robots (FerroSoRo) with Level-Set-Based Multiphysics Topology Optimization"
Irmgard Bischofberger,mechanical-engineering,"Yield precursor in primary creep of colloidal gels; A Theoretical Exploration of the Growth and Stability of Alveolospheres; Microscopic characterization of macroscopic colloidal gel rheology; Advanced Rheological Characterization of Nanofilled Materials for Automotive Applications; Crack morphologies in drying suspension drops; Modular Assembly of Mechanoresponsive Color‐Changing Materials from Hydrogel‐Based Photonic Crystal Microspheres; Spectral Universality of Elastoinertial Turbulence; Structures and topological defects in pressure-driven lyotropic chromonic liquid crystals; Single-shot quantitative interferometric microscopy for imaging high-speed dynamics; Relaxation of Dense Suspension; Two modes of cluster dynamics govern the viscoelasticity of colloidal gels; Growth morphology and symmetry selection of interfacial instabilities in anisotropic environments; Emergence of multiscale dynamics in colloidal gels; Controlling crystallization via interfacial engineering : patterning, fouling-inhibition, and nutrient recovery; Evaluating the effectiveness of green earth winterizer""̳ in breaching ice dams; Drying of colloidal suspension drops : pattern formation and mechanical deformation; Relaxation behavior of dense suspensions; Confinement-induced stabilization of the Rayleigh-Taylor instability and transition to the unconfined limit; Criterion for Fingering Instabilities in Colloidal Gels; Blooming flowers from drying drops"
Cullen R. Buie,mechanical-engineering,"Bacterial response to spatial gradients of algal-derived nutrients in a porous microplate; Development of a hydrogel-based biocompatible platform for studying metabolic interactions between algae and bacteria; Continuous shear stress alters metabolism, mass-transport, and growth in electroactive biofilms independent of surface substrate transport; Critical electric field quantification for inducing bacterial electroporation; Continuous ion-selective separation by shock electrodialysis; Microfluidic dielectrophoresis illuminates the relationship between microbial cell envelope polarizability and electrochemical activity; Engineered interfaces controlling the nucleation and flowability of complex fluids; Electrical-phenotyping of the bacterial envelope using microfluidics; Exoelectrogenic biofilm growth in shearing flows; Development of microfluidic pipette tips for automated electroporation; Bioaerosol generation by raindrops on soil; Nonlinear electrokinetics of the bacterial cell envelope for applications in biomicrofluidics; Microbial instrumentation utilizing microfluidics; Effects of conjugated oligoelectrolytes on cell transformation; Translational design computation; Microfluidic Screening of Electric Fields for Electroporation; A dielectrophoretic, microfluidic device for sorting lipid-producing organisms used as bio-oil sources; Mitigation of losses from hydrodynamic mixing in a hydrogen bromine Laminar flow battery; Bead manipulation to enable electrically controlled wire braiding; Multi-scale chemistry modeling of the thermochemical conversion of biomass in a fluidized bed gasifier"
Tal Cohen,mechanical-engineering,
Betar Gallant,mechanical-engineering,
Ming Guo,mechanical-engineering,
Asegun Henry,mechanical-engineering,
Jeehwan Kim,mechanical-engineering,
